links,Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,questionnaire,report
http://catalog.ihsn.org/index.php/catalog/4247,6001,ihsn,lfs,1,1,1,1,,,Bangladesh, 2005-2006,,,Labour Force Survey 2005-2006 ,b,as,1,,"By: Bangladesh Bureau of Statistics (BBS) - Ministry of Planning, Government of the People's Republic of Bangladesh","Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 341 Citations: 1 ","Bangladesh, 2005-2006",,http://catalog.ihsn.org/index.php/catalog/4247,http://catalog.ihsn.org/index.php/catalog/4247/download/56017,http://catalog.ihsn.org/index.php/catalog/4247/download/56027
http://catalog.ihsn.org/index.php/catalog/137,6036,ihsn,a,,,,,,,Bangladesh,2005,,,Agriculture Sample Survey 2005 ,,,,,By: Bangladesh Bureau of Statistics,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 3222","Bangladesh, 2005",,http://catalog.ihsn.org/index.php/catalog/137,"http://catalog.ihsn.org/index.php/catalog/137/download/29027""","http://catalog.ihsn.org/index.php/catalog/137/download/29031"""
http://catalog.ihsn.org/index.php/catalog/3556,6183,ihsn,c,,,,,,,Bangladesh,1991,,,Population Census 1991 - IPUMS Subset ,,,,,"By: Bangladesh Bureau of Statistics, Minnesota Population Center - University of Minnesota","Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 160","Bangladesh, 1991",,http://catalog.ihsn.org/index.php/catalog/3556,http://catalog.ihsn.org/index.php/catalog/3556/download/64131,null
http://catalog.ihsn.org/index.php/catalog/127,6127,ihsn,c,,,,,,,Bangladesh,2001,,,Population and Housing Census ,,,,,By: Bangladesh Bureau of Statistics (BBS),"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 9926","Bangladesh, 2001",,http://catalog.ihsn.org/index.php/catalog/127,"http://catalog.ihsn.org/index.php/catalog/127/download/28951""","http://catalog.ihsn.org/index.php/catalog/127/download/28952"""
http://catalog.ihsn.org/index.php/catalog/3557,6134,ihsn,c,,,,,,,Bangladesh,2001,,,Population and Housing Census 2001 - IPUMS Subset ,,,,,"By: Bangladesh Bureau of Statistics, Minnesota Population Center - University of Minnesota","Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 300","Bangladesh, 2001",,http://catalog.ihsn.org/index.php/catalog/3557,http://catalog.ihsn.org/index.php/catalog/3557/download/64133,null
http://catalog.ihsn.org/index.php/catalog/4376,5924,ihsn,c,,,,,,,Bangladesh,2011,,,Population and Housing Census 2011 ,,,,,"By: Bangladesh Bureau of Statistics - Statistics and Informatics Division, Ministry of Planning","Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 500","Bangladesh, 2011",,http://catalog.ihsn.org/index.php/catalog/4376,http://catalog.ihsn.org/index.php/catalog/4376/download/56813,http://catalog.ihsn.org/index.php/catalog/4376/download/56815
http://catalog.ihsn.org/index.php/catalog/3558,5931,ihsn,c,,,,,,,Bangladesh,2011,,,Population and Housing Census 2011 - IPUMS Subset ,,,,,"By: Bangladesh Bureau of Statistics, Minnesota Population Center - University of Minnesota","Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 554","Bangladesh, 2011",,http://catalog.ihsn.org/index.php/catalog/3558,http://catalog.ihsn.org/index.php/catalog/3558/download/64135,null
http://catalog.ihsn.org/index.php/catalog/117,6176,ihsn,dhs,,,,,,,Bangladesh, 1993-1994,,,Demographic and Health Survey 1993-1994 ,,,,,By: Mitra & Associates/ NIPORT,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2110 Citations: 201 ","Bangladesh, 1993-1994",,http://catalog.ihsn.org/index.php/catalog/117,"http://catalog.ihsn.org/index.php/catalog/117/download/28909""","/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/119,6155,ihsn,dhs,,,,,,,Bangladesh, 1996-1997,,,Demographic and Health Survey 1996-1997 ,,,,,By: Mitra & Associates/ NIPORT,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2223 Citations: 218 ","Bangladesh, 1996-1997",,http://catalog.ihsn.org/index.php/catalog/119,"http://catalog.ihsn.org/index.php/catalog/119/download/28919""","/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/123,6141,ihsn,dhs,,,,,,,Bangladesh, 1999-2000,,,Demographic and Health Survey 1999-2000 ,,,,,By: Mitra and Associates/ National Institute of Population Research and Training (NIPORT),"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 1020 Citations: 215 ","Bangladesh, 1999-2000",,http://catalog.ihsn.org/index.php/catalog/123,"http://catalog.ihsn.org/index.php/catalog/123/download/28944""","/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/134,6043,ihsn,dhs,,,,,,,Bangladesh,2004,,,Demographic and Health Survey 2004 ,,,,,By: Mitra and Associates/ National Institute of Population Research and Training (NIPORT),"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2371 Citations: 209 ","Bangladesh, 2004",,http://catalog.ihsn.org/index.php/catalog/134,"http://catalog.ihsn.org/index.php/catalog/134/download/28975""","/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/142,5980,ihsn,dhs,,,,,,,Bangladesh,2007,,,Demographic and Health Survey 2007 ,,,,,By: Mitra and Associates/ National Institute for Population Research and Training (NIPORT) - Ministry of Health and Family Welfare,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 1349 Citations: 119 ","Bangladesh, 2007",,http://catalog.ihsn.org/index.php/catalog/142,"http://catalog.ihsn.org/index.php/catalog/142/download/29050""","http://catalog.ihsn.org/index.php/catalog/142/download/29054"""
http://catalog.ihsn.org/index.php/catalog/2961,5910,ihsn,dhs,,,,,,,Bangladesh,2011,,,Demographic and Health Survey 2011 ,,,,,"By: National Institute for Population Research and Training (NIPORT) - Ministry of Health and Family Welfare, Bangladeshi","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 676 Citations: 56 ","Bangladesh, 2011",,http://catalog.ihsn.org/index.php/catalog/2961,http://catalog.ihsn.org/index.php/catalog/2961/download/44656,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
