Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,,,,questionnaires,reports
17031,ihsn,emp,1,,,,,,Mexico,2011,,,Encuesta Nacional de Ocupación y Empleo 2011 - Trimestre II ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1064","Mexico, 2011",,http://catalog.ihsn.org/index.php/catalog/2996,,,,http://catalog.ihsn.org/index.php/catalog/2996/download/45065,null
17038,ihsn,emp,1,,,,,,Mexico,2011,,,Encuesta Nacional de Ocupación y Empleo 2011 - Trimestre III ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 595","Mexico, 2011",,http://catalog.ihsn.org/index.php/catalog/2995,,,,http://catalog.ihsn.org/index.php/catalog/2995/download/45052,null
17045,ihsn,emp,1,1,1,,,,Mexico,2011,,,Encuesta Nacional de Ocupación y Empleo 2011 - Trimestre IV ,q,nac,1,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 533","Mexico, 2011",,http://catalog.ihsn.org/index.php/catalog/2994,,,,http://catalog.ihsn.org/index.php/catalog/2994/download/45039,null
16996,ihsn,emp,1,,,,,,Mexico,2012,,,Encuesta Nacional de Ocupación y Empleo 2012 - Trimestre I ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1734","Mexico, 2012",,http://catalog.ihsn.org/index.php/catalog/2993,,,,http://catalog.ihsn.org/index.php/catalog/2993/download/45026,null
17003,ihsn,emp,1,,,,,,Mexico,2012,,,Encuesta Nacional de Ocupación y Empleo 2012 - Trimestre II ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1544","Mexico, 2012",,http://catalog.ihsn.org/index.php/catalog/2992,,,,http://catalog.ihsn.org/index.php/catalog/2992/download/45013,null
17010,ihsn,emp,1,,,,,,Mexico,2012,,,Encuesta Nacional de Ocupación y Empleo 2012 - Trimestre III ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1718","Mexico, 2012",,http://catalog.ihsn.org/index.php/catalog/2991,,,,http://catalog.ihsn.org/index.php/catalog/2991/download/45000,null
17017,ihsn,emp,1,1,1,,,,Mexico,2012,,,Encuesta Nacional de Ocupación y Empleo 2012 - Trimestre IV ,q,nac,1,,"By: Instituto Nacional de Estadística y Geografía, INEGI","Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1553","Mexico, 2012",,http://catalog.ihsn.org/index.php/catalog/2990,,,,http://catalog.ihsn.org/index.php/catalog/2990/download/44987,null
17187,ihsn,emp,1,,,,,,Mexico, 2005-2006,,,"Encuesta Nacional de Ocupación y Empleo 2005, I Trimestre ",q,nac,,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 77","Mexico, 2005-2006",,http://catalog.ihsn.org/index.php/catalog/4555,,,,http://catalog.ihsn.org/index.php/catalog/4555/download/58087,http://catalog.ihsn.org/index.php/catalog/4555/download/58088
17194,ihsn,emp,1,,,,,,Mexico, 2005-2006,,,"Encuesta Nacional de Ocupación y Empleo 2005, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 197","Mexico, 2005-2006",,http://catalog.ihsn.org/index.php/catalog/4556,,,,http://catalog.ihsn.org/index.php/catalog/4556/download/58097,http://catalog.ihsn.org/index.php/catalog/4556/download/58099
17201,ihsn,emp,1,,,,,,Mexico, 2005-2006,,,"Encuesta Nacional de Ocupación y Empleo 2005, III Trimestre ",q,nac,,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 133","Mexico, 2005-2006",,http://catalog.ihsn.org/index.php/catalog/4557,,,,http://catalog.ihsn.org/index.php/catalog/4557/download/58107,http://catalog.ihsn.org/index.php/catalog/4557/download/58109
17208,ihsn,emp,1,1,1,,,,Mexico, 2005-2006,,,"Encuesta Nacional de Ocupación y Empleo 2005, IV Trimestre ",q,nac,1,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 311","Mexico, 2005-2006",,http://catalog.ihsn.org/index.php/catalog/4558,,,,http://catalog.ihsn.org/index.php/catalog/4558/download/58117,http://catalog.ihsn.org/index.php/catalog/4558/download/58119
17145,ihsn,emp,1,1,1,,,,Mexico, 2007-2008,,,"Encuesta Nacional de Ocupación y Empleo 2008, I Trimestre ",q,nac,1,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 92","Mexico, 2007-2008",,http://catalog.ihsn.org/index.php/catalog/4567,,,,http://catalog.ihsn.org/index.php/catalog/4567/download/58203,null
17152,ihsn,emp,1,,,,,,Mexico, 2007-2008,,,"Encuesta Nacional de Ocupación y Empleo 2008, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística Geografía e Informática,"Created on: Sep 05, 2014 Last modified: Sep 05, 2014 Views: 22","Mexico, 2007-2008",,http://catalog.ihsn.org/index.php/catalog/4697,,,,http://catalog.ihsn.org/index.php/catalog/4697/download/59277,null
2442,ihsn,inc,1,,,,,,Mexico,2002,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2002 ,a,nac,,,"By: Instituto Nacional de Estadística, Geografía e Informática (INEGI), Dirección General de Estadística (DGE)","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 1175 Citations: 59 ","Mexico, 2002",,http://catalog.ihsn.org/index.php/catalog/3960,,,,http://catalog.ihsn.org/index.php/catalog/3960/download/53824,http://catalog.ihsn.org/index.php/catalog/3960/download/53825
2435,ihsn,inc,1,,,,,,Mexico,2004,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2004 ,a,nac,,,"By: Instituto Nacional de Estadística, Geografía e Informática (INEGI), Dirección General de Estadística (DGE)","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 750 Citations: 44 ","Mexico, 2004",,http://catalog.ihsn.org/index.php/catalog/3961,,,,http://catalog.ihsn.org/index.php/catalog/3961/download/53835,http://catalog.ihsn.org/index.php/catalog/3961/download/53846
